active_features,avg_mask_prob,epoch,recon_loss,sparsity_loss,step,train_loss,val_loss
31.0,0.489484041929245,0,0.014326306991279125,0.489484041929245,49,0.019221147522330284,
25.0,0.4805631935596466,0,0.011781271547079086,0.4805631935596466,99,0.016586903482675552,
27.0,0.4715820848941803,0,0.009378944523632526,0.4715820848941803,149,0.014094765298068523,
32.0,0.4624748229980469,0,0.00683826906606555,0.4624748229980469,199,0.011463017202913761,
,,0,,,227,,0.015546281822025776
31.0,0.45403432846069336,1,0.007502375636249781,0.45403432846069336,249,0.012042718939483166,
27.0,0.44547292590141296,1,0.009167276322841644,0.44547292590141296,299,0.013622005470097065,
25.0,0.43680649995803833,1,0.0063661616295576096,0.43680649995803833,349,0.010734226554632187,
26.0,0.4286326766014099,1,0.007464144378900528,0.4286326766014099,399,0.011750470846891403,
20.0,0.42095252871513367,1,0.006139277946203947,0.42095252871513367,449,0.010348803363740444,
,,1,,,455,,0.013715368695557117
28.0,0.4143695831298828,2,0.007205918896943331,0.4143695831298828,499,0.011349614709615707,
27.0,0.4079703390598297,2,0.006567119620740414,0.4079703390598297,549,0.010646822862327099,
25.0,0.40079423785209656,2,0.006954200100153685,0.40079423785209656,599,0.01096214260905981,
21.0,0.3940715789794922,2,0.006293220445513725,0.3940715789794922,649,0.010233936831355095,
,,2,,,683,,0.01251144614070654
24.0,0.38890352845191956,3,0.005375615321099758,0.38890352845191956,699,0.009264650754630566,
25.0,0.38292786478996277,3,0.006388485431671143,0.38292786478996277,749,0.010217763483524323,
18.0,0.3777294158935547,3,0.006653936114162207,0.3777294158935547,799,0.010431230068206787,
21.0,0.3731655180454254,3,0.007411452010273933,0.3731655180454254,849,0.01114310696721077,
24.0,0.3688576817512512,3,0.0061052460223436356,0.3688576817512512,899,0.009793822653591633,
,,3,,,911,,0.012447969987988472
18.0,0.36404719948768616,4,0.005482636857777834,0.36404719948768616,949,0.00912310928106308,
23.0,0.360114187002182,4,0.0062839374877512455,0.360114187002182,999,0.009885079227387905,
16.0,0.3551149070262909,4,0.006912562530487776,0.3551149070262909,1049,0.010463711805641651,
22.0,0.3510191738605499,4,0.004493431653827429,0.3510191738605499,1099,0.008003623224794865,
