epoch,step,train_avg_p,train_bias,train_exp_L0,train_loss,train_sum_p,train_var_term,val_avg_p,val_bias,val_exp_L0,val_loss,val_sum_p,val_var_term
0,11,,,,,,,0.2390410602092743,0.0008526623714715242,95.61641693115234,0.0008527830359525979,95.61641693115234,0.12069931626319885
1,23,,,,,,,0.23340080678462982,0.0006260312511585653,93.36032104492188,0.0006262058741413057,93.36032104492188,0.17461277544498444
2,35,,,,,,,0.23256000876426697,0.0005059440154582262,93.02400970458984,0.0005061636329628527,93.02400970458984,0.2196260243654251
3,47,,,,,,,0.23580920696258545,0.00043674453627318144,94.32368469238281,0.0004370073729660362,94.32368469238281,0.2628537118434906
4,49,0.2362661510705948,0.0004101025697309524,94.50646209716797,0.0004103694227524102,94.50646209716797,0.2668443024158478,,,,,,
4,59,,,,,,,0.2416347861289978,0.0003887173079419881,96.65391540527344,0.0003890230436809361,96.65391540527344,0.3057255148887634
5,71,,,,,,,0.24817974865436554,0.00035148317692801356,99.27190399169922,0.00035182625288143754,99.27190399169922,0.3431031405925751
6,83,,,,,,,0.2555790841579437,0.0003198868071194738,102.23163604736328,0.00032026588451117277,102.23163604736328,0.37909385561943054
7,95,,,,,,,0.2633824646472931,0.0002926827874034643,105.35298919677734,0.0002930949267465621,105.35298919677734,0.4121772348880768
8,99,0.2654055058956146,0.00027593239792622626,106.16220092773438,0.0002763524535112083,106.16220092773438,0.4200597405433655,,,,,,
8,107,,,,,,,0.27159377932548523,0.00026815684395842254,108.63751220703125,0.00026859980425797403,108.63751220703125,0.4429780840873718
9,119,,,,,,,0.2801061272621155,0.00024566659703850746,112.04244995117188,0.0002461378462612629,112.04244995117188,0.47123411297798157
10,131,,,,,,,0.2889958322048187,0.00022483093198388815,115.59832763671875,0.00022532849106937647,115.59832763671875,0.4975641071796417
11,143,,,,,,,0.298151433467865,0.00020526099251583219,119.26057434082031,0.0002057827077805996,119.26057434082031,0.5217311382293701
12,149,0.3020285665988922,0.00018669372366275638,120.81143188476562,0.00018722473760135472,120.81143188476562,0.5310096740722656,,,,,,
12,155,,,,,,,0.3075565695762634,0.00018703110981732607,123.02262878417969,0.0001875750458566472,123.02262878417969,0.5439321994781494
13,167,,,,,,,0.3172738254070282,0.00016959136701188982,126.9095230102539,0.00017015609773807228,126.9095230102539,0.5647569298744202
14,179,,,,,,,0.3272368907928467,0.00015323946718126535,130.89476013183594,0.00015382381388917565,130.89476013183594,0.5843568444252014
15,191,,,,,,,0.3373889923095703,0.00013753269740846008,134.95559692382812,0.0001381356705678627,134.95559692382812,0.602966845035553
16,199,0.34338128566741943,0.0001223135768668726,137.35250854492188,0.00012292733299545944,137.35250854492188,0.613751232624054,,,,,,
16,203,,,,,,,0.3477029502391815,0.0001226129534188658,139.0811767578125,0.00012323386908974499,139.0811767578125,0.6209151148796082
17,215,,,,,,,0.3581414818763733,0.00010840459435712546,143.256591796875,0.00010904298687819391,143.256591796875,0.6383775472640991
18,227,,,,,,,0.3685752749443054,9.539631719235331e-05,147.43011474609375,9.605184459360316e-05,147.43011474609375,0.6555227637290955
19,239,,,,,,,0.378963828086853,8.335499296663329e-05,151.5855255126953,8.402755338465795e-05,151.5855255126953,0.6725555062294006
20,249,0.3866649866104126,7.034894224489108e-05,154.66600036621094,7.103440293576568e-05,154.66600036621094,0.6854634881019592,,,,,,
20,251,,,,,,,0.3892141580581665,7.277642725966871e-05,155.6856689453125,7.346600614255294e-05,155.6856689453125,0.6895820498466492
21,263,,,,,,,0.39922431111335754,6.225614924915135e-05,159.68972778320312,6.296273932093754e-05,159.68972778320312,0.706588864326477
22,275,,,,,,,0.4090289771556854,5.287450403557159e-05,163.61160278320312,5.359836359275505e-05,163.61160278320312,0.7238582372665405
23,287,,,,,,,0.4184696078300476,4.4913151214132085e-05,167.38783264160156,4.565416747936979e-05,167.38783264160156,0.7410130500793457
24,299,0.4267255365848541,3.462574022705667e-05,170.69021606445312,3.538258170010522e-05,170.69021606445312,0.7568423748016357,,,,,,
24,299,,,,,,,0.4274549186229706,3.768925671465695e-05,170.98196411132812,3.844713864964433e-05,170.98196411132812,0.7578815817832947
25,311,,,,,,,0.43597331643104553,3.151659620925784e-05,174.3893280029297,3.229105277569033e-05,174.3893280029297,0.7744610905647278
26,323,,,,,,,0.44399645924568176,2.5858085791696794e-05,177.5985870361328,2.6648753191693686e-05,177.5985870361328,0.7906672954559326
27,335,,,,,,,0.4514808654785156,2.110100831487216e-05,180.5923309326172,2.1907306290813722e-05,180.5923309326172,0.8062992691993713
28,347,,,,,,,0.45839694142341614,1.710918513708748e-05,183.35877990722656,1.793035517039243e-05,183.35877990722656,0.8211698532104492
29,349,0.45895013213157654,1.5982694094418548e-05,183.58004760742188,1.680520836089272e-05,183.58004760742188,0.8225136995315552,,,,,,
29,359,,,,,,,0.4647393822669983,1.3986902558826841e-05,185.895751953125,1.4822056073171552e-05,185.895751953125,0.835153341293335
30,371,,,,,,,0.47050949931144714,1.1123776857857592e-05,188.20379638671875,1.1971952517342288e-05,188.20379638671875,0.8481766581535339
31,383,,,,,,,0.47574207186698914,9.368724022351671e-06,190.2968292236328,1.0228973224002402e-05,190.2968292236328,0.8602485656738281
32,395,,,,,,,0.48043784499168396,7.806467692716978e-06,192.1751251220703,8.677749974594917e-06,192.1751251220703,0.8712828755378723
33,399,0.48152482509613037,7.248444035212742e-06,192.60992431640625,8.122554390865844e-06,192.60992431640625,0.8741105794906616,,,,,,
33,407,,,,,,,0.48457297682762146,5.933874490438029e-06,193.82919311523438,6.8150670813338365e-06,193.82919311523438,0.8811924457550049
34,419,,,,,,,0.4882400929927826,5.506955403689062e-06,195.29603576660156,6.397035122063244e-06,195.29603576660156,0.8900795578956604
35,431,,,,,,,0.49141228199005127,5.031430191593245e-06,196.5648956298828,5.929419785388745e-06,196.5648956298828,0.8979896903038025
36,443,,,,,,,0.4941190183162689,4.576349510898581e-06,197.64759826660156,5.481254902406363e-06,197.64759826660156,0.9049052000045776
37,449,0.4951300323009491,5.717194653698243e-06,198.05201721191406,6.624431989621371e-06,198.05201721191406,0.9072373509407043,,,,,,
37,455,,,,,,,0.49640533328056335,4.6336745072039776e-06,198.56211853027344,5.544623491005041e-06,198.56211853027344,0.9109491109848022
38,467,,,,,,,0.4983464181423187,4.598634859576123e-06,199.33856201171875,5.514827989827609e-06,199.33856201171875,0.9161927103996277
39,479,,,,,,,0.49994397163391113,3.87259842682397e-06,199.9775848388672,4.7933585847204085e-06,199.9775848388672,0.9207600355148315
40,491,,,,,,,0.5014034509658813,3.3460246413596906e-06,200.56137084960938,4.270700173947262e-06,200.56137084960938,0.924675703048706
41,499,0.5021637678146362,4.0901290958572645e-06,200.86550903320312,5.016765953769209e-06,200.86550903320312,0.926636815071106,,,,,,
41,503,,,,,,,0.5026289224624634,2.2905371679371456e-06,201.0515594482422,3.2185362215386704e-06,201.0515594482422,0.9279989004135132
42,515,,,,,,,0.5036948919296265,3.3502603855595225e-06,201.4779510498047,4.281117526261369e-06,201.4779510498047,0.9308569431304932
43,527,,,,,,,0.5045347213745117,2.831893425536691e-06,201.8138885498047,3.7651370803359896e-06,201.8138885498047,0.9332435727119446
44,539,,,,,,,0.5052927136421204,4.615572834154591e-06,202.1171112060547,5.550837158807553e-06,202.1171112060547,0.9352637529373169
45,549,0.5056799650192261,3.508462214085739e-06,202.27198791503906,4.4450202949519735e-06,202.27198791503906,0.936557948589325,,,,,,
