epoch,step,train_avg_p,train_bias,train_exp_L0,train_loss,train_sum_p,train_var_term,val_avg_p,val_bias,val_exp_L0,val_loss,val_sum_p,val_var_term
0,11,,,,,,,0.6037123799324036,0.0009277993231080472,241.48497009277344,0.0009278919897042215,241.48497009277344,0.09272350370883942
1,23,,,,,,,0.5916874408721924,0.0005858065560460091,236.6749725341797,0.0005859111552126706,236.6749725341797,0.10456394404172897
2,35,,,,,,,0.5861771106719971,0.00042240816401317716,234.47084045410156,0.00042252338607795537,234.47084045410156,0.11516384780406952
3,47,,,,,,,0.5852141380310059,0.00034302507992833853,234.0856475830078,0.00034315057564526796,234.0856475830078,0.12545262277126312
4,49,0.5852272510528564,0.00032271529198624194,234.09091186523438,0.00032284139888361096,234.09091186523438,0.12610837817192078,,,,,,
4,59,,,,,,,0.586601734161377,0.00029126263689249754,234.6407012939453,0.0002913973876275122,234.6407012939453,0.13473527133464813
5,71,,,,,,,0.5896427035331726,0.00025312622892670333,235.8571014404297,0.0002532708749640733,235.8571014404297,0.14467409253120422
6,83,,,,,,,0.5935063362121582,0.00022206654830370098,237.4025115966797,0.00022222106053959578,237.4025115966797,0.15449024736881256
7,95,,,,,,,0.5979434847831726,0.0001954259059857577,239.17739868164062,0.00019559035717975348,239.17739868164062,0.16444173455238342
8,99,0.59911048412323,0.00018197558529209346,239.64419555664062,0.0001821425394155085,239.64419555664062,0.16694729030132294,,,,,,
8,107,,,,,,,0.6027256846427917,0.00017270841635763645,241.09027099609375,0.00017288276285398751,241.09027099609375,0.17433534562587738
9,119,,,,,,,0.6077722907066345,0.00015254113532137126,243.10890197753906,0.00015272540622390807,243.10890197753906,0.18426752090454102
10,131,,,,,,,0.6129972338676453,0.00013447977835312486,245.19888305664062,0.00013467395910993218,245.19888305664062,0.1941811442375183
11,143,,,,,,,0.6183267831802368,0.0001186884255730547,247.3307342529297,0.00011889247252838686,247.3307342529297,0.20405276119709015
12,149,0.6205723285675049,0.00010464379738550633,248.2289276123047,0.00010485194070497528,248.2289276123047,0.20814132690429688,,,,,,
12,155,,,,,,,0.6237072348594666,0.0001042007133946754,249.48289489746094,0.0001044145756168291,249.48289489746094,0.21385958790779114
13,167,,,,,,,0.6290842294692993,9.134397259913385e-05,251.63368225097656,9.156754822470248e-05,251.63368225097656,0.22357763350009918
14,179,,,,,,,0.6344091892242432,7.995642954483628e-05,253.763671875,8.018956577870995e-05,253.763671875,0.23313410580158234
15,191,,,,,,,0.6396607160568237,6.967659282963723e-05,255.86428833007812,6.991915142862126e-05,255.86428833007812,0.24255776405334473
16,199,0.6426752209663391,6.011480945744552e-05,257.0700988769531,6.036282502464019e-05,257.0700988769531,0.24801497161388397,,,,,,
16,203,,,,,,,0.6447984576225281,6.067323556635529e-05,257.91937255859375,6.092504918342456e-05,257.91937255859375,0.25181418657302856
17,215,,,,,,,0.6497793793678284,5.243837949819863e-05,259.9117431640625,5.269921166473068e-05,259.9117431640625,0.2608311176300049
18,227,,,,,,,0.6546128988265991,4.5321532525122166e-05,261.84515380859375,4.559117223834619e-05,261.84515380859375,0.2696382999420166
19,239,,,,,,,0.6592461466789246,3.918935908586718e-05,263.6984558105469,3.946750803152099e-05,263.6984558105469,0.2781463861465454
20,249,0.6625711917877197,3.3137606806121767e-05,265.0284729003906,3.342196578159928e-05,265.0284729003906,0.28435757756233215,,,,,,
20,251,,,,,,,0.6636531949043274,3.3549818908795714e-05,265.4612731933594,3.383613147889264e-05,265.4612731933594,0.28630897402763367
21,263,,,,,,,0.66782546043396,2.8722915885737166e-05,267.13018798828125,2.9017017368460074e-05,267.13018798828125,0.2941025197505951
22,275,,,,,,,0.6717747449874878,2.449491512379609e-05,268.70989990234375,2.4796458092168905e-05,268.70989990234375,0.30154260993003845
