epoch,step,train_avg_p,train_bias,train_exp_L0,train_loss,train_sum_p,train_var_term,val_avg_p,val_bias,val_exp_L0,val_loss,val_sum_p,val_var_term
23,287,,,,,,,0.6755174398422241,2.090963789669331e-05,270.20697021484375,2.1218302208581008e-05,270.20697021484375,0.30866551399230957
24,299,0.6787481904029846,1.5528861695202067e-05,271.499267578125,1.5843779692659155e-05,271.499267578125,0.31491756439208984,,,,,,
24,299,,,,,,,0.6790310740470886,1.777796023816336e-05,271.6124267578125,1.809337300073821e-05,271.6124267578125,0.3154119849205017
25,311,,,,,,,0.6822941303253174,1.5327901564887725e-05,272.91766357421875,1.5649635315639898e-05,272.91766357421875,0.32173463702201843
26,323,,,,,,,0.685325562953949,1.2704093933280092e-05,274.1302185058594,1.3031755770498421e-05,274.1302185058594,0.32766032218933105
27,335,,,,,,,0.6881555914878845,1.069114023266593e-05,275.2622375488281,1.1024349078070372e-05,275.2622375488281,0.3332095444202423
28,347,,,,,,,0.6907926797866821,9.013861927087419e-06,276.31707763671875,9.352260349260177e-06,276.31707763671875,0.33839866518974304
29,349,0.6910051703453064,8.14231316326186e-06,276.4020690917969,8.48121999297291e-06,276.4020690917969,0.3389067053794861,,,,,,
29,359,,,,,,,0.6932412981987,7.530927177867852e-06,277.2965087890625,7.87415774539113e-06,277.2965087890625,0.3432309031486511
30,371,,,,,,,0.6954808831214905,6.311627203103853e-06,278.1923522949219,6.659295650024433e-06,278.1923522949219,0.3476681113243103
31,383,,,,,,,0.6975478529930115,5.382948529586429e-06,279.0191345214844,5.734733349527232e-06,279.0191345214844,0.35178494453430176
32,395,,,,,,,0.6994381546974182,4.422284291649703e-06,279.7752685546875,4.77784124086611e-06,279.7752685546875,0.3555568754673004
33,399,0.6998876929283142,3.967615612054942e-06,279.955078125,4.324093424656894e-06,279.955078125,0.3564775884151459,,,,,,
33,407,,,,,,,0.7011746168136597,3.719735104823485e-06,280.4698486328125,4.078739948454313e-06,280.4698486328125,0.35900503396987915
34,419,,,,,,,0.7027558088302612,3.5837174436892383e-06,281.1023254394531,3.9458491301047616e-06,281.1023254394531,0.3621315360069275
35,431,,,,,,,0.7041682600975037,2.798829655148438e-06,281.66729736328125,3.1638016935175983e-06,281.66729736328125,0.36497166752815247
36,443,,,,,,,0.7054545879364014,2.271539869980188e-06,282.18182373046875,2.6390971470391378e-06,282.18182373046875,0.367557168006897
37,449,0.7059589624404907,1.9161693671776447e-06,282.3835754394531,2.284801212226739e-06,282.3835754394531,0.3686318099498749,,,,,,
37,455,,,,,,,0.7066333889961243,2.3001782665232895e-06,282.6533508300781,2.67007521870255e-06,282.6533508300781,0.36989694833755493
38,467,,,,,,,0.7076900005340576,1.736155581966159e-06,283.07598876953125,2.1081605154904537e-06,283.07598876953125,0.3720048666000366
39,479,,,,,,,0.7086524963378906,1.2603786672116257e-06,283.46099853515625,1.6342736444130423e-06,283.46099853515625,0.3738948106765747
40,491,,,,,,,0.7095432281494141,1.1080613830927177e-06,283.8172912597656,1.4836379023108748e-06,283.8172912597656,0.37557655572891235
41,499,0.7100309133529663,9.069299267139286e-07,284.0123596191406,1.283500296267448e-06,284.0123596191406,0.37657037377357483,,,,,,
41,503,,,,,,,0.7103628516197205,1.0718101748352638e-06,284.1451416015625,1.4488809938484337e-06,284.1451416015625,0.37707093358039856
42,515,,,,,,,0.7110875844955444,8.68307495238696e-07,284.4350280761719,1.2466996395232854e-06,284.4350280761719,0.3783920407295227
43,527,,,,,,,0.7117425799369812,7.428957360389177e-07,284.697021484375,1.1224720992686343e-06,284.697021484375,0.3795764148235321
44,539,,,,,,,0.7123435139656067,6.265267984417733e-07,284.9374084472656,1.0071438509839936e-06,284.9374084472656,0.3806169629096985
45,549,0.7127607464790344,8.258781463155174e-07,285.10430908203125,1.2071759556420147e-06,285.10430908203125,0.3812977969646454,,,,,,
45,551,,,,,,,0.7128915190696716,7.042290235403925e-07,285.1566162109375,1.085762846742e-06,285.1566162109375,0.3815339207649231
46,563,,,,,,,0.7133679986000061,1.1032642532882164e-06,285.3471984863281,1.485608663642779e-06,285.3471984863281,0.3823443353176117
47,575,,,,,,,0.7137829065322876,8.413070418100688e-07,285.5131530761719,1.2243772289366461e-06,285.5131530761719,0.383070170879364
48,587,,,,,,,0.7141618132591248,9.151776225735375e-07,285.66473388671875,1.2988821254111826e-06,285.66473388671875,0.3837045729160309
49,599,0.7144798040390015,9.534596756566316e-07,285.79193115234375,1.338060883426806e-06,285.79193115234375,0.3846012353897095,,,,,,
49,599,,,,,,,0.7145071625709534,5.523734785128909e-07,285.8028564453125,9.366239623886941e-07,285.8028564453125,0.3842504322528839
