epoch,step,train_avg_p,train_bias,train_exp_L0,train_loss,train_sum_p,train_var_term,val_avg_p,val_bias,val_exp_L0,val_loss,val_sum_p,val_var_term
0,11,,,,,,,0.6019852757453918,0.0009516019490547478,240.7941131591797,0.0011924891732633114,240.7941131591797,0.09308487921953201
1,23,,,,,,,0.5871865749359131,0.0005924072465859354,234.87464904785156,0.0008273871499113739,234.87464904785156,0.10528559982776642
2,35,,,,,,,0.5776324272155762,0.0004215038497932255,231.052978515625,0.0006526736542582512,231.052978515625,0.11677954345941544
3,47,,,,,,,0.5715323686599731,0.0003442154556978494,228.61294555664062,0.0005729567492380738,228.61294555664062,0.12836088240146637
4,49,0.5710872411727905,0.0003301335091236979,228.43490600585938,0.0005586975603364408,228.43490600585938,0.12915560603141785,,,,,,
4,59,,,,,,,0.5670028924942017,0.0002953943912871182,226.8011474609375,0.0005223349435254931,226.8011474609375,0.13939857482910156
5,71,,,,,,,0.5635412931442261,0.00025927653769031167,225.41651916503906,0.00048484475701116025,225.41651916503906,0.15173238515853882
6,83,,,,,,,0.5604089498519897,0.00023045598936732858,224.16357421875,0.00045478399260900915,224.16357421875,0.16440442204475403
7,95,,,,,,,0.5574377775192261,0.00020683606271632016,222.97511291503906,0.0004299888387322426,222.97511291503906,0.17764027416706085
8,99,0.55669766664505,0.0001915275934152305,222.6790771484375,0.00041438761400058866,222.6790771484375,0.18093913793563843,,,,,,
8,107,,,,,,,0.5545027852058411,0.00018634807202033699,221.80111694335938,0.0004083405656274408,221.80111694335938,0.19133636355400085
9,119,,,,,,,0.5515686273574829,0.00016883978969417512,220.62744140625,0.0003896727866958827,220.62744140625,0.2055472880601883
10,131,,,,,,,0.5486068725585938,0.0001530920126242563,219.4427490234375,0.0003727550501935184,219.4427490234375,0.2202499508857727
11,143,,,,,,,0.5456082224845886,0.00013950061111245304,218.24330139160156,0.00035797932650893927,218.24330139160156,0.2354380190372467
12,149,0.5443515777587891,0.0001275878312299028,217.74063110351562,0.0003455703554209322,217.74063110351562,0.24189548194408417,,,,,,
12,155,,,,,,,0.5425554513931274,0.0001270306238438934,217.0221710205078,0.00034430387313477695,217.0221710205078,0.2510886788368225
13,167,,,,,,,0.5394040942192078,0.00011609624198172241,215.7616424560547,0.0003321249969303608,215.7616424560547,0.26709893345832825
14,179,,,,,,,0.5361627340316772,0.00010645659494912252,214.46510314941406,0.00032120521063916385,214.46510314941406,0.28349530696868896
15,191,,,,,,,0.5328177809715271,9.770633187144995e-05,213.1271209716797,0.00031113368459045887,213.1271209716797,0.3002402186393738
16,199,0.5308264493942261,8.812413580017164e-05,212.33058166503906,0.00030076492112129927,212.33058166503906,0.3102041780948639,,,,,,
16,203,,,,,,,0.5293537378311157,8.97990757948719e-05,211.74148559570312,0.00030185788637027144,211.74148559570312,0.3173104524612427
17,215,,,,,,,0.5257000923156738,8.291738049592823e-05,210.28004455566406,0.00029353200807236135,210.28004455566406,0.33455803990364075
18,227,,,,,,,0.5219383835792542,7.667335739824921e-05,208.77536010742188,0.00028580083744600415,208.77536010742188,0.35212281346321106
19,239,,,,,,,0.5180568099021912,7.092367013683543e-05,207.2227020263672,0.00027851632330566645,207.2227020263672,0.3699681758880615
20,249,0.5150713920593262,6.324846617644653e-05,206.028564453125,0.00026966046425513923,206.028564453125,0.38343045115470886,,,,,,
20,251,,,,,,,0.5140581727027893,6.609121919609606e-05,205.62326049804688,0.0002721025957725942,205.62326049804688,0.3880871832370758
21,263,,,,,,,0.5099045038223267,6.148733518784866e-05,203.9617919921875,0.00026585551677271724,203.9617919921875,0.40637916326522827
22,275,,,,,,,0.5056601762771606,5.7462915719952434e-05,202.26406860351562,0.0002601519227027893,202.26406860351562,0.4249439239501953
23,287,,,,,,,0.5013191103935242,5.372220402932726e-05,200.52764892578125,0.00025469358661212027,200.52764892578125,0.443730890750885
24,299,0.497221976518631,4.706194522441365e-05,198.8887939453125,0.0002464121498633176,198.8887939453125,0.46141061186790466,,,,,,
24,299,,,,,,,0.49684226512908936,5.050112304161303e-05,198.73692321777344,0.00024970064987428486,198.73692321777344,0.4626246988773346
25,311,,,,,,,0.4922502934932709,4.7614259528927505e-05,196.90011596679688,0.0002449960447847843,196.90011596679688,0.48164695501327515
