active_features,avg_mask_prob,epoch,recon_loss,sparsity_loss,step,train_loss,val_loss
24.0,0.4902186393737793,0,0.015964921563863754,0.4902186393737793,49,0.018416015431284904,
28.0,0.48325616121292114,0,0.012915568426251411,0.48325616121292114,99,0.015331849455833435,
34.0,0.479385107755661,0,0.00901793036609888,0.479385107755661,149,0.011414855718612671,
25.0,0.47489792108535767,0,0.008218595758080482,0.47489792108535767,199,0.010593085549771786,
,,0,,,227,,0.009420053102076054
35.0,0.47010183334350586,1,0.008380252867937088,0.47010183334350586,249,0.010730762034654617,
31.0,0.4652216136455536,1,0.007331864908337593,0.4652216136455536,299,0.009657973423600197,
26.0,0.4609038829803467,1,0.006630709394812584,0.4609038829803467,349,0.008935228921473026,
28.0,0.4572317898273468,1,0.007413259707391262,0.4572317898273468,399,0.009699419140815735,
23.0,0.4525645077228546,1,0.00593850202858448,0.4525645077228546,449,0.008201324380934238,
,,1,,,455,,0.007645547389984131
34.0,0.44964736700057983,2,0.005915755406022072,0.44964736700057983,499,0.008163992315530777,
23.0,0.44572508335113525,2,0.006614093203097582,0.44572508335113525,549,0.008842718787491322,
24.0,0.4417078197002411,2,0.006627683062106371,0.4417078197002411,599,0.008836221881210804,
29.0,0.43855831027030945,2,0.006541002541780472,0.43855831027030945,649,0.008733794093132019,
,,2,,,683,,0.007616479881107807
22.0,0.43568143248558044,3,0.005470853298902512,0.43568143248558044,699,0.007649260573089123,
21.0,0.43239277601242065,3,0.005830641835927963,0.43239277601242065,749,0.007992605678737164,
21.0,0.42876696586608887,3,0.006250923965126276,0.42876696586608887,799,0.008394759148359299,
26.0,0.42797785997390747,3,0.005434632301330566,0.42797785997390747,849,0.007574521470814943,
23.0,0.4257034659385681,3,0.005340885370969772,0.4257034659385681,899,0.007469402626156807,
,,3,,,911,,0.008436138741672039
25.0,0.42390987277030945,4,0.005639270879328251,0.42390987277030945,949,0.007758820429444313,
25.0,0.423214316368103,4,0.0057553197257220745,0.423214316368103,999,0.007871391251683235,
16.0,0.42022398114204407,4,0.00764140160754323,0.42022398114204407,1049,0.009742521680891514,
27.0,0.41919004917144775,4,0.005420854315161705,0.41919004917144775,1099,0.007516804616898298,
,,4,,,1139,,0.007773919031023979
17.0,0.4173227548599243,5,0.007672279141843319,0.4173227548599243,1149,0.00975889340043068,
29.0,0.41601917147636414,5,0.005446776747703552,0.41601917147636414,1199,0.007526872679591179,
28.0,0.4156685769557953,5,0.005412825383245945,0.4156685769557953,1249,0.007491168566048145,
