active_features,avg_mask_prob,epoch,recon_loss,sparsity_loss,step,train_loss,val_loss
32.0,0.4957577586174011,0,0.01620103232562542,0.4957577586174011,49,0.016696790233254433,
25.0,0.4970482885837555,0,0.013673445209860802,0.4970482885837555,99,0.014170493930578232,
32.0,0.5041598677635193,0,0.009278090670704842,0.5041598677635193,149,0.009782250970602036,
32.0,0.5076919198036194,0,0.007742638234049082,0.5076919198036194,199,0.008250330574810505,
,,0,,,227,,0.009496064856648445
33.0,0.5107038617134094,1,0.006875063758343458,0.5107038617134094,249,0.0073857675306499004,
29.0,0.513177216053009,1,0.007333891931921244,0.513177216053009,299,0.007847068831324577,
33.0,0.5154311656951904,1,0.0078067355789244175,0.5154311656951904,349,0.00832216627895832,
31.0,0.5190555453300476,1,0.005837986711412668,0.5190555453300476,399,0.006357042118906975,
23.0,0.5218105912208557,1,0.007286637555807829,0.5218105912208557,449,0.007808448281139135,
,,1,,,455,,0.008438819088041782
27.0,0.5252668261528015,2,0.005075290333479643,0.5252668261528015,499,0.005600557196885347,
28.0,0.5278436541557312,2,0.005189843010157347,0.5278436541557312,549,0.005717686843127012,
29.0,0.5309865474700928,2,0.004919936880469322,0.5309865474700928,599,0.005450923461467028,
34.0,0.5336347818374634,2,0.0053265332244336605,0.5336347818374634,649,0.005860168021172285,
,,2,,,683,,0.00770671758800745
36.0,0.5363519787788391,3,0.005406214389950037,0.5363519787788391,699,0.005942566320300102,
29.0,0.5385012626647949,3,0.005678605288267136,0.5385012626647949,749,0.006217106711119413,
35.0,0.5421153903007507,3,0.004854176659137011,0.5421153903007507,799,0.005396292079240084,
27.0,0.543825626373291,3,0.00590196717530489,0.543825626373291,849,0.006445792969316244,
29.0,0.5469753742218018,3,0.004740732256323099,0.5469753742218018,899,0.005287707783281803,
,,3,,,911,,0.00708570284768939
32.0,0.5502721667289734,4,0.004786333069205284,0.5502721667289734,949,0.00533660501241684,
34.0,0.5533524751663208,4,0.004220433998852968,0.5533524751663208,999,0.004773786291480064,
28.0,0.5550357699394226,4,0.005852131173014641,0.5550357699394226,1049,0.0064071668311953545,
30.0,0.5581392645835876,4,0.005346871446818113,0.5581392645835876,1099,0.005905010737478733,
,,4,,,1139,,0.006832700222730637
32.0,0.5604333281517029,5,0.0050022355280816555,0.5604333281517029,1149,0.005562668666243553,
29.0,0.5632345080375671,5,0.005299187730997801,0.5632345080375671,1199,0.005862422287464142,
29.0,0.5662797093391418,5,0.004923716653138399,0.5662797093391418,1249,0.005489996634423733,
34.0,0.5687116384506226,5,0.004091636743396521,0.5687116384506226,1299,0.004660348407924175,
34.0,0.5708686709403992,5,0.004643859341740608,0.5708686709403992,1349,0.005214727949351072,
,,5,,,1367,,0.006445986218750477
34.0,0.5730862617492676,6,0.004014731850475073,0.5730862617492676,1399,0.004587817937135696,
38.0,0.5759490132331848,6,0.004136443603783846,0.5759490132331848,1449,0.004712392576038837,
37.0,0.5777329802513123,6,0.0042412434704601765,0.5777329802513123,1499,0.004818976391106844,
34.0,0.5804968476295471,6,0.004752458073198795,0.5804968476295471,1549,0.0053329551592469215,
,,6,,,1595,,0.006105417851358652
30.0,0.5822215676307678,7,0.005251810420304537,0.5822215676307678,1599,0.005834031850099564,
35.0,0.5848382115364075,7,0.0034644424449652433,0.5848382115364075,1649,0.004049280658364296,
30.0,0.5870170593261719,7,0.005466999486088753,0.5870170593261719,1699,0.006054016761481762,
39.0,0.5895655155181885,7,0.0036080130375921726,0.5895655155181885,1749,0.00419757841154933,
34.0,0.5924360156059265,7,0.004442963283509016,0.5924360156059265,1799,0.005035399459302425,
,,7,,,1823,,0.005981430411338806
30.0,0.5943625569343567,8,0.004082899075001478,0.5943625569343567,1849,0.00467726169154048,
29.0,0.5966774225234985,8,0.004329326096922159,0.5966774225234985,1899,0.004926003515720367,
35.0,0.5986987352371216,8,0.004465136211365461,0.5986987352371216,1949,0.0050638350658118725,
36.0,0.6010896563529968,8,0.0052658566273748875,0.6010896563529968,1999,0.0058669461868703365,
